PptID,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
122,20,35,35,10,0,0,50,50,0,0,50,50,50,20,15,15,1
135,20,20,50,10,25,10,50,15,25,25,25,25,10,10,60,20,3
148,20,30,40,10,30,30,20,20,30,20,40,10,10,30,50,10,1.2
109,20,30,25,25,15,45,30,10,10,20,35,35,40,10,30,20,1.2
149,20,30,20,30,20,30,30,20,20,30,20,30,30,20,30,20,1
123,20,70,10,0,20,70,10,0,0,20,0,80,50,10,20,20,2
310,20,35,25,20,25,40,25,10,5,55,30,10,25,25,30,20,2.4
176,20,40,20,20,20,30,20,30,20,40,20,20,30,40,20,10,2.4
366,20,30,30,20,30,30,20,20,40,40,10,10,25,30,30,15,1.4
288,20,30,25,25,25,25,25,25,20,40,20,20,30,50,10,10,2.4
278,20,30,30,20,24,34,20,22,20,40,40,0,18,40,0,42,1.6
343,20,30,30,20,20,20,40,20,50,0,50,0,10,65,15,10,1.2
332,20,40,30,10,15,35,30,20,25,25,30,20,25,25,25,25,1.6
194,20,30,30,20,10,30,40,20,30,30,20,20,25,25,25,25,1.6
295,20,30,25,25,15,10,50,25,10,10,60,20,10,15,40,35,2.2
223,20,20,30,30,0,0,50,50,5,55,40,0,30,50,10,10,1.6
265,20,30,30,20,40,40,15,5,50,25,0,25,25,25,25,25,1
359,20,40,25,15,13,12,75,0,29,14,43,14,10,40,40,10,1
349,20,30,30,20,30,25,30,15,30,10,30,30,20,30,30,20,1
203,20,60,10,10,29,20,40,11,20,15,45,20,40,20,20,20,2.2
334,20,30,30,20,100,0,0,0,0,0,0,100,5,60,20,15,1.4
239,20,30,30,20,25,35,25,15,0,0,50,50,20,30,35,15,1
193,20,30,40,10,0,10,10,80,0,1,99,0,0,0,1,99,2.4
190,20,30,20,30,25,25,25,25,0,100,0,0,25,25,25,25,1
195,20,40,20,20,10,30,50,10,20,30,30,20,20,30,30,20,2.6
321,20,40,10,30,10,40,20,30,30,30,20,20,15,40,10,35,3
375,20,20,20,40,20,20,20,40,20,20,20,40,20,50,10,20,1
167,20,20,20,40,20,20,20,40,0,0,0,100,20,20,30,30,1
221,20,70,5,5,10,60,10,20,10,20,40,30,60,30,4,6,1
212,20,30,15,35,35,35,15,15,30,40,15,15,40,25,20,15,1.4
162,20,50,20,10,20,50,30,0,0,5,95,0,30,50,10,10,1.4
369,20,30,30,20,25,0,75,0,20,0,80,0,10,40,40,10,1.4
341,20,30,25,25,0,45,10,45,5,5,5,85,0,0,50,50,3.4
352,20,30,50,0,40,0,60,0,0,40,40,20,50,0,30,20,2.6
312,20,10,60,10,40,20,20,20,30,40,10,20,40,20,20,20,2.4
171,20,20,30,30,20,10,40,30,25,25,30,20,10,20,35,35,2.6
208,20,30,20,30,30,50,20,0,10,10,40,40,15,25,30,30,1.6
225,20,30,40,10,10,30,50,10,0,10,80,10,30,40,25,5,1.4
324,20,30,20,30,0,50,0,50,0,50,0,50,15,35,15,35,1.4
385,20,20,30,30,30,30,30,10,20,20,30,30,20,20,30,30,1
377,20,30,30,20,40,20,30,10,50,20,25,5,15,35,15,35,3
140,21,30,30,19,20,30,21,29,29,30,29,12,30,30,15,25,1.2
304,21,37,20,22,25,34,25,16,16,22,33,29,12,22,45,21,1
115,25,40,30,5,45,50,5,0,20,60,20,0,20,30,40,10,1.2
136,25,25,25,25,0,20,40,40,0,0,50,50,20,40,20,20,2.4
117,25,25,25,25,0,50,50,0,0,50,50,0,20,50,30,0,2.6
263,25,50,10,15,20,50,10,20,15,55,10,20,10,25,15,50,1
139,25,35,30,10,92,7,0.1,0.9,0,0,50,50,10,15,37.5,37.5,1.6
285,25,25,20,30,65,25,10,0,20,10,35,35,40,50,5,5,1.2
182,25,35,40,0,25,35,40,0,0,10,90,0,0,30,40,30,2
283,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3
174,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.75
175,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.6
315,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
240,25,25,25,25,20,20,30,30,5,45,15,35,20,20,30,30,1.4
245,25,25,25,25,60,10,10,20,50,0,50,0,50,5,20,25,1.6
314,25,25,25,25,25,25,25,25,25,10,25,40,30,10,10,50,2.6
320,25,25,25,25,45,25,10,20,0,0,50,50,25,25,25,25,2
351,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.4
383,25,20,25,30,20,20,30,30,0,20,40,40,20,30,30,20,2
384,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
177,25,25,25,25,50,10,30,10,25,25,25,25,40,10,40,10,2.6
298,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
173,25,45,20,10,10,25,50,15,20,35,30,15,20,30,35,15,1
210,25,25,25,25,25,25,25,25,50,0,50,0,25,25,25,25,1
347,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
367,25,25,25,25,0,50,30,20,20,50,10,20,10,30,25,35,1
339,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3.4
286,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
204,25,25,25,25,100,0,0,0,50,50,0,0,0,50,0,50,1
371,25,25,25,25,25,25,25,25,20,10,50,20,25,25,25,25,1
284,25,25,25,25,30,30,20,20,25,25,25,25,25,25,25,25,1
333,25,25,25,25,15,25,25,35,18,27,30,25,25,25,25,25,2
376,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
357,25,25,25,25,25,25,25,25,25,25,25,25,50,10,30,10,1.2
360,25,25,15,35,30,30,15,25,0,50,50,0,25,50,15,10,2.6
368,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3
159,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.4
166,25,50,15,10,0,50,10,40,10,50,20,20,0,50,20,30,2
275,25,15,50,10,100,0,0,0,0,0,100,0,0,100,0,0,1
373,25,25,25,25,15,25,40,20,25,25,25,25,10,40,20,30,1.2
316,25,25,25,25,10,80,5,5,0,0,100,0,10,75,10,5,1.8
338,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
350,25,25,25,25,85,12,2,1,0,0,100,0,36,56,8,0,3
355,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
336,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
303,25,25,25,25,15,10,50,25,0,0,50,50,25,25,25,25,5
129,30,30,20,20,10,20,30,40,20,20,20,40,20,20,30,30,2
133,30,20,35,15,20,20,45,15,20,25,35,20,15,35,40,10,2
209,30,40,20,10,30,20,30,20,0,100,0,0,20,30,30,20,1.2
309,30,20,30,20,26,20,20,34,25,24,12,39,17,37,12,34,2.8
266,30,30,20,20,20,50,20,10,0,0,0,100,0,0,0,100,3.4
249,30,30,20,20,20,40,20,20,15,25,30,30,30,30,20,20,1.2
329,30,20,50,0,10,15,50,25,30,20,40,10,10,50,20,20,1.6
326,30,20,20,30,30,20,20,30,30,20,20,30,10,20,30,40,1.4
386,30,40,20,10,30,40,20,10,30,40,20,10,10,60,20,10,1
255,30,30,30,10,30,30,30,10,30,30,30,10,30,30,30,10,1.2
260,30,20,20,30,30,20,20,30,30,20,20,30,25,25,25,25,1.6
