PptID,STEM,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
358,5,10,60,20,10,20,60,10,10,20,50,20,10,10,60,20,10,1.2
174,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.75
175,4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.6
194,1,20,30,30,20,10,30,40,20,30,30,20,20,25,25,25,25,1.6
196, , , , , , , , , , , , , , , , , , 
235,2,35,15,25,25,10,90,0,0,40,50,10,0,40,60,0,0, 
269,5,10,25,40,25,1,65,4,30,20,30,50,0,45,10,35,10,1
295,1,20,30,25,25,15,10,50,25,10,10,60,20,10,15,40,35,2.2
315,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
318, , , , , , , , , , , , , , , , , , 
163, , , , , , , , , , , , , , , , , , 
223,1,20,20,30,30,0,0,50,50,5,55,40,0,30,50,10,10,1.6
230,1,10,50,20,20,10,50,20,20,10,50,20,20,10,50,20,20,2.2
240,2,25,25,25,25,20,20,30,30,5,45,15,35,20,20,30,30,1.4
245,4,25,25,25,25,60,10,10,20,50,0,50,0,50,5,20,25,1.6
277,1,5,25,50,20,2,0,85,13,0,0,90,10,5,15,75,5,2
282,1,46,45,5,4,80,1,10,9,9,0,90,1,4,11,55,30,2.8
305,1,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,5
308,1,100,0,0,0,100,0,0,0,80,5,5,10,25,25,25,25,1
314,1,25,25,25,25,25,25,25,25,25,10,25,40,30,10,10,50,2.6
320,2,25,25,25,25,45,25,10,20,0,0,50,50,25,25,25,25,2
337,2,0,33,52,15,0,22,78,0,0,20,0,80,34,32,34,0,1.8
351,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.4
364,1,10,40,40,10,10,10,40,40,0,50,0,50,10,30,30,30,3
383,1,25,20,25,30,20,20,30,30,0,20,40,40,20,30,30,20,2
384,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
177,2,25,25,25,25,50,10,30,10,25,25,25,25,40,10,40,10,2.6
158,1,39,30,18,13,0,25,50,25,30,20,20,30,10,14,46,30,1.25
185,3,0,60,40,0,0,30,70,0,0,0,50,50,25,25,25,25,1
252,1,10,70,10,10,10,90,0,0,20,50,30,0,10,40,10,40,1.8
266,1,30,30,20,20,20,50,20,10,0,0,0,100,0,0,0,100,3.4
272,1,9,31,50,10,5,10,65,20,4,8,75,13,8,35,40,17,1.2
290, , , , , , , , , , , , , , , , , , 
293,5,50,40,10,0,0,50,50,0,0,0,10,90,0,50,40,10,1
294,1,10,30,50,10,0,50,40,10,0,50,50,0,0,50,50,0,1.6
297,1,60,20,10,10,60,10,10,20,10,20,30,40,10,20,30,40,2.6
327,1,15,40,35,10,10,10,50,30,0,0,50,50,25,30,30,15,2.2
346, , , , , , , , , , , , , , , , , , 
380,2,40,25,25,10,50,40,10,0,50,30,20,0,10,50,30,10,1.8
165,1,10,30,40,20,10,10,40,40,0,50,50,0,20,20,30,30,3
183,3,5,60,20,15,0,50,20,30,30,10,40,20,10,50,20,20,1.8
216,1,50,10,10,30,10,60,10,20,70,10,10,10,20,20,40,20,2.2
249,2,30,30,20,20,20,40,20,20,15,25,30,30,30,30,20,20,1.2
265,2,20,30,30,20,40,40,15,5,50,25,0,25,25,25,25,25,1
281,1,10,40,40,10,0,10,50,40,0,10,90,0,5,40,30,25,2.2
298,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
329,1,30,20,50,0,10,15,50,25,30,20,40,10,10,50,20,20,1.6
342,1,10,30,50,10,20,50,30,0,20,40,40,0,20,50,25,5,1.6
345,3,15,40,30,15,50,0,50,0,0,40,60,0,20,30,40,10,1.4
359,3,20,40,25,15,13,12,75,0,29,14,43,14,10,40,40,10,1
361,1,10,30,50,10,20,10,40,30,20,10,40,30,20,50,10,20,1
178,1,97,1,1,1,97,1,1,1,97,1,1,1,98,1,0,1,3
201,1,13,25,34,28,30,15,15,40,15,30,25,30,52,25,12,11, 
236,1,50,25,15,10,20,35,40,5,45,10,30,15,80,5,5,10,1
326,1,30,20,20,30,30,20,20,30,30,20,20,30,10,20,30,40,1.4
363,1,50,30,20,0,90,0,5,5,0,100,0,0,0,0,100,0,1.5
161,1,0,0,0,100,0,0,4,96,0,0,98,2,4,0,96,0,1.4
200,1,10,75,10,5,0,0,25,75,0,0,100,0,10,50,30,10,1.2
231,1,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,4
271,1,100,0,0,0,25,0,75,0,25,25,25,25,0,50,45,5,2.2
349,1,20,30,30,20,30,25,30,15,30,10,30,30,20,30,30,20,1
172,4,0,0,75,25,0,0,0,100,25,15,40,20,20,10,20,50,2.2
203,4,20,60,10,10,29,20,40,11,20,15,45,20,40,20,20,20,2.2
267,2,0,0,100,0,0,0,100,0,0,60,20,20,0,0,100,0,1.2
276,5,35,35,15,15,25,15,40,20,20,25,30,25,40,50,5,5,1.2
334,1,20,30,30,20,100,0,0,0,0,0,0,100,5,60,20,15,1.4
239,4,20,30,30,20,25,35,25,15,0,0,50,50,20,30,35,15,1
319,1,15,30,40,15,15,30,50,5,20,40,30,10,20,50,20,10,2.2
330,1,50,10,20,20,10,60,20,10,10,10,10,70,10,30,20,40,2.4
356, ,10,10,40,40,10,30,40,20,0,0,50,50,10,30,30,30,1.2
379,1,10,30,40,20,10,40,30,20,20,20,20,40,20,30,30,20,2
173,5,25,45,20,10,10,25,50,15,20,35,30,15,20,30,35,15,1
193,1,20,30,40,10,0,10,10,80,0,1,99,0,0,0,1,99,2.4
220,2,40,10,20,30,40,10,35,15,35,20,30,15,30,45,15,10,1
234,1,10,40,40,10,0,50,40,10,0,0,90,10,5,60,30,5,1.2
306,4,0,0,0,100,0,0,100,0,0,0,0,100,0,0,50,50,2.4
228,2,3,18,50,29,2,10,75,13,2,5,65,28,25,45,25,5,1
374,1,12,30,50,8,10,30,50,10,10,20,50,20,10,50,30,10,1.6
169,5,100,0,0,0,1,1,0,98,90,5,2,3,0,0,100,0,3
190,5,20,30,20,30,25,25,25,25,0,100,0,0,25,25,25,25,1
207,1,10,50,20,20,40,30,20,10,10,0,80,10,20,30,30,20,1.8
210,5,25,25,25,25,25,25,25,25,50,0,50,0,25,25,25,25,1
229,3,0,5,90,5,0,0,100,0,0,0,0,100,10,20,50,20,1.8
302,5,60,5,10,25,15,25,30,30,0,0,100,0,100,0,0,0,1
195,1,20,40,20,20,10,30,50,10,20,30,30,20,20,30,30,20,2.6
386,4,30,40,20,10,30,40,20,10,30,40,20,10,10,60,20,10,1
321,1,20,40,10,30,10,40,20,30,30,30,20,20,15,40,10,35,3
205, , , , , , , , , , , , , , , , , , 
375,1,20,20,20,40,20,20,20,40,20,20,20,40,20,50,10,20,1
255,1,30,30,30,10,30,30,30,10,30,30,30,10,30,30,30,10,1.2
260,1,30,20,20,30,30,20,20,30,30,20,20,30,25,25,25,25,1.6
365,1,0,0,75,25,0,0,50,50,0,25,50,25,5,75,15,5,1.8
347,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
167,3,20,20,20,40,20,20,20,40,0,0,0,100,20,20,30,30,1
367,1,25,25,25,25,0,50,30,20,20,50,10,20,10,30,25,35,1
242,2,15,30,40,15,0,0,100,0,50,0,50,0,0,50,50,0,1.2
262,1,15,20,35,30,40,0,60,0,10,10,40,40,10,40,40,10,2.2
188, , , , , , , , , , , , , , , , , , 
339,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3.4
381,1,0,40,60,0,10,40,30,20,0,50,50,0,0,50,50,0,2.2
179, , , , , , , , , , , , , , , , , , 
286,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
221,1,20,70,5,5,10,60,10,20,10,20,40,30,60,30,4,6,1
227,1,0,0,20,80,0,0,20,80,0,0,50,50,0,0,30,70,1
212,5,20,30,15,35,35,35,15,15,30,40,15,15,40,25,20,15,1.4
253,4,10,40,10,40,40,10,40,10,25,25,25,25,20,30,20,30,1.8
264,5,5,10,65,20,0,0,50,50,100,0,0,0,20,30,30,20,1
162,5,20,50,20,10,20,50,30,0,0,5,95,0,30,50,10,10,1.4
226,2,10,15,40,35,40,20,25,15,15,10,75,0,25,25,25,25,1.8
317,1,30,50,10,10,20,30,40,10,50,10,20,20,0,0,50,50,1.6
353,5,40,25,25,10,0,60,40,0,0,0,100,0,0,70,20,10,1
369,5,20,30,30,20,25,0,75,0,20,0,80,0,10,40,40,10,1.4
204,5,25,25,25,25,100,0,0,0,50,50,0,0,0,50,0,50,1
341,2,20,30,25,25,0,45,10,45,5,5,5,85,0,0,50,50,3.4
371,2,25,25,25,25,25,25,25,25,20,10,50,20,25,25,25,25,1
224, , , , , , , , , , , , , , , , , , 
284,5,25,25,25,25,30,30,20,20,25,25,25,25,25,25,25,25,1
333,1,25,25,25,25,15,25,25,35,18,27,30,25,25,25,25,25,2
376,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
378,3,15,35,35,15,10,40,45,5,10,10,70,10,20,40,30,10,1.6
160,2,0,0,100,0,0,0,100,0,100,0,0,0,0,0,100,0,2.2
184, , , , , , , , , , , , , , , , , , 
211,3,10,10,50,30,0,0,50,50,0,0,50,50,0,0,50,50,2.6
268,1,45,45,10,0,35,35,3,27,30,30,20,20,20,20,30,30,1.6
287,5, , , , , , , , , , , , , , , , ,3.4
323,1,40,23,25,12,25,2,51,22,56,27,12,5,54,20,15,11, 
352,1,20,30,50,0,40,0,60,0,0,40,40,20,50,0,30,20,2.6
357,1,25,25,25,25,25,25,25,25,25,25,25,25,50,10,30,10,1.2
360,4,25,25,15,35,30,30,15,25,0,50,50,0,25,50,15,10,2.6
368,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3
159,5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.4
166,1,25,50,15,10,0,50,10,40,10,50,20,20,0,50,20,30,2
168,1,40,20,20,20,20,40,20,20,40,20,20,20,20,40,20,20,1.4
191,2,5,25,45,25,10,30,40,20,20,25,30,25,5,25,45,25,1.2
214,1,35,20,25,20,50,20,10,20,20,60,10,10,30,30,30,10,1
261,4,30,20,40,10,30,30,40,0,10,0,50,40,30,40,20,10,1.2
275,1,25,15,50,10,100,0,0,0,0,0,100,0,0,100,0,0,1
279,1,10,60,5,25,5,50,10,35,10,30,10,50,20,80,0,0,2.2
299,3,50,30,10,10,5,40,50,5,0,2,50,48,20,50,20,10,1.4
300,3,7,56,24,13,15,35,27,23,25,46,16,13,14,36,34,16,1.2
307,2,10,50,30,10,0,50,50,0,70,10,10,10,30,20,40,10,2
312,1,20,10,60,10,40,20,20,20,30,40,10,20,40,20,20,20,2.4
373,2,25,25,25,25,15,25,40,20,25,25,25,25,10,40,20,30,1.2
248,1,30,30,35,5,20,10,40,30,20,20,30,30,30,30,20,20,1
304,5,21,37,20,22,25,34,25,16,16,22,33,29,12,22,45,21,1
325,1,10,40,40,10,10,40,40,10,10,40,40,10,20,30,10,40,1.2
344,5,100,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,4.2
301,2, , , , , , , , , , , , , , , , ,1.8
316,1,25,25,25,25,10,80,5,5,0,0,100,0,10,75,10,5,1.8
338,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
348,1,0,0,50,50,0,0,50,50,0,0,50,50,0,0,50,50, 
350,2,25,25,25,25,85,12,2,1,0,0,100,0,36,56,8,0,3
355,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
328,5,50,40,5,5,50,50,0,0,0,0,100,0,50,50,0,0,1.4
340,1,45,30,15,10,54,32,13,1,51,35,11,3,42,25,23,10,2.2
372,1,10,10,10,70,20,30,30,20,40,40,10,10,40,40,10,10,1.8
171,1,20,20,30,30,20,10,40,30,25,25,30,20,10,20,35,35,2.6
192,1, , , , , , , , , , , , , , , , ,3
270,5,40,10,10,40,50,10,20,20,80,10,5,5,60,30,5,5,1
254,1, , , , , , , , , , , , , , , , , 
322,1, , , , , , , , , , , , , , , , ,1.4
336,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
197,5,50,50,0,0,50,50,0,0,50,0,50,0,40,30,30,0,1
208,2,20,30,20,30,30,50,20,0,10,10,40,40,15,25,30,30,1.6
225,2,20,30,40,10,10,30,50,10,0,10,80,10,30,40,25,5,1.4
324,5,20,30,20,30,0,50,0,50,0,50,0,50,15,35,15,35,1.4
354,3, , , , , , , , , , , , , , , , ,1.2
233,2, , , , , , , , , , , , , , , , ,1.4
385,1,20,20,30,30,30,30,30,10,20,20,30,30,20,20,30,30,1
377,1,20,30,30,20,40,20,30,10,50,20,25,5,15,35,15,35,3
232, , , , , , , , , , , , , , , , , , 
199,1,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,2.8
258,1,67,33,0,0,0,0,55,45,45,55,0,0,12,12,43,33,2.4
303,3,25,25,25,25,15,10,50,25,0,0,50,50,25,25,25,25,5
164,5,10,40,30,20,20,40,30,10,0,0,50,50,0,0,100,0,2.2
370,1,45,45,5,5,20,10,20,50,5,5,45,45,4,21,53,22,1
335,1,10,50,30,10,10,50,30,10,10,50,30,10,10,50,30,10,1
