Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
30229,2,2,-0.53026,-0.4782,-1.22735,-1.17724,-1.16634,-0.79151,-1.92681,-0.97973,-0.09617,-1.71144,0.45722,-1.19539
10210,2,2,-0.48044,-0.43502,-0.30551,-0.53269,-0.07313,0.41959,0.86162,0.39767,-1.20573,-0.26328,0.50386,0.49015
30066,2,2,-0.43305,-0.3176,-0.30551,-0.21042,1.02008,0.01589,-1.22266,0.39767,1.0134,1.00386,0.50386,0.49015
30251,2,2,-0.0313,-0.11028,-1.22735,-1.98293,-0.61974,0.66181,0.48792,-0.97973,-1.20573,-0.50464,0.50386,0.49015
30286,2,2,-0.38197,-0.40277,-0.30551,0.59527,0.47347,-0.22633,-1.03851,0.8568,0.18122,1.00386,0.50386,0.49015
30207,2,2,0.23621,0.63951,0.61634,-1.01611,0.47347,0.05626,0.86162,-0.97973,-0.92834,-1.71144,-0.77248,-1.08889
4390,2,2,-0.55588,-0.44875,-0.30551,-0.37156,-0.61974,0.01589,0.86162,-0.06146,-0.65095,1.00386,-1.5905,-1.5063
30224,2,2,-0.04809,-0.14948,-0.30551,1.88437,-0.07313,-0.71077,0.48792,-0.97973,-1.20573,-0.50464,-1.5905,-1.5063
30238,2,2,-0.34527,-0.34865,-0.30551,-0.69383,0.47347,0.25811,-1.72957,0.8568,0.73601,0.09876,-1.5905,-1.5063
10031,2,2,0.05667,-0.09735,1.53818,-1.17724,-0.07313,0.86366,-1.22266,-0.52059,-0.09617,0.09876,0.07789,-0.1983
30064,2,2,-0.39707,-0.43296,0.61634,-0.04928,-0.07313,0.37922,0.77083,-0.97973,0.73601,-1.71144,0.07789,-0.1983
30261,2,2,-0.55024,-0.46692,1.53818,-0.21042,1.02008,0.37922,-1.22266,3.15246,0.73601,1.00386,0.07789,-0.1983
30303,2,2,-0.3812,-0.36859,-1.22735,0.43413,1.02008,-0.34744,-1.22266,-0.97973,-1.20573,-0.15984,0.07789,-0.1983
30123,2,2,-0.65415,-0.49888,-1.22735,2.20664,1.56668,-1.0741,0.86162,2.23419,0.45861,-0.10237,0.44463,1.09031
30152,2,2,-0.3885,-0.31125,0.61634,0.27299,-0.07313,-0.02448,-1.22266,0.39767,0.45861,0.09876,0.44463,1.09031
3829,2,2,-0.11143,-0.29051,-1.22735,0.27299,-1.71295,-0.22633,-1.92767,-0.97973,0.18122,-0.98736,0.35592,0.87614
30198,2,2,-0.07325,-0.01856,0.61634,-0.53269,-0.07313,0.45996,0.8269,-0.97973,-0.37356,-1.71144,0.35592,0.87614
30257,2,2,-0.35385,-0.30626,-1.22735,1.72323,0.47347,-0.58966,-1.22266,-0.97973,-0.92834,0.09876,0.35592,0.87614
30272,2,2,0.5655,0.51105,-0.30551,1.40095,0.47347,-0.14559,0.86162,-0.52059,-1.20573,1.18488,0.35592,0.87614
30289,2,2,-0.2481,-0.18281,1.53818,-0.21042,1.02008,0.137,0.40025,0.8568,1.29079,0.09876,0.35592,0.87614
30320,2,2,-0.15953,-0.16577,0.61634,0.7564,-0.07313,-0.34744,-1.92283,-0.97973,0.45861,1.00386,0.35592,0.87614
30163,2,2,-0.62557,-0.47571,0.61634,-0.85497,1.02008,0.37922,-0.28597,0.39767,1.29079,1.00386,-0.80711,-1.00218
30234,2,2,-0.56861,-0.41616,-1.22735,0.91754,-0.07313,-0.58966,0.86162,-0.97973,-0.37356,-0.50464,-0.80711,-1.00218
302300,2,2,-0.25605,-0.13335,0.61634,0.7564,0.47347,-0.06485,-1.22266,-0.97973,,1.90896,-0.80711,-1.00218
30132,2,2,-0.39916,-0.36329,-1.22735,0.59527,-0.61974,-0.2667,0.86162,-0.97973,0.18122,-1.30917,-1.13873,-0.81305
300852,2,2,-0.08807,-0.12299,1.53818,-1.17724,0.47347,0.50033,,1.31593,-1.48312,0.09876,-0.72088,-0.59357
30090,2,2,0.37873,0.31507,1.53818,-0.69383,1.02008,0.50033,-0.16472,0.39767,1.56818,-0.26328,-0.72088,-0.59357
30055,2,2,0.40935,0.4546,-1.22735,-0.37156,-1.71295,0.137,0.05245,0.8568,0.45861,0.09876,-1.35442,-0.96341
30291,2,2,-0.54371,-0.40454,-0.30551,0.7564,1.02008,-0.46855,0.32113,-0.52059,0.18122,0.70216,-1.35442,-0.96341
30317,2,2,0.67984,0.53589,0.61634,-1.66066,0.47347,0.66181,0.84796,3.15246,-0.37356,0.09876,-1.35442,-0.96341
30119,2,2,-0.11943,-0.18354,-1.22735,-1.66066,-0.07313,0.5407,-0.89136,-0.97973,-1.48312,-1.71144,-0.67546,-1.35215
30056,2,2,-0.21962,-0.19369,0.61634,-0.37156,0.47347,0.09663,-0.53387,0.39767,0.18122,0.70216,-1.25626,-1.54871
101792,2,2,-0.74468,-0.60285,-0.30551,-0.37156,-1.71295,0.09663,0.86162,-0.97973,-0.92834,-1.10804,-1.16472,-1.21114
30214,2,2,0.43909,0.28641,-1.22735,1.07868,-0.07313,-0.50892,-1.22266,-0.52059,-0.09617,-0.50464,0.46433,1.55956
30177,2,2,0.04485,-0.16053,-0.30551,-0.04928,-0.07313,-0.10522,0.63791,0.8568,-0.09617,0.70216,-0.3008,-1.22377
30081,2,2,-0.62733,-0.43258,1.53818,-0.04928,0.47347,0.137,0.86162,-0.97973,1.29079,1.30556,-1.46893,-0.78442
30049,2,2,-0.43466,-0.36084,-0.30551,1.40095,-1.16634,-0.38781,0.37578,0.8568,0.18122,-0.98736,1.08716,2.27492
10211,2,2,-0.34982,-0.26936,0.61634,-0.21042,-0.07313,0.09663,0.86162,-0.52059,1.0134,1.00386,1.45027,1.01225
30298,2,2,-0.37859,-0.32444,-1.22735,2.0455,0.47347,-0.54929,0.86162,-0.97973,-1.48312,-0.746,1.07384,1.97183
30310,2,2,-0.67601,-0.49241,0.61634,0.59527,1.56668,-0.34744,0.86162,-0.97973,-0.92834,1.90896,1.35914,1.97843
10160,2,2,-0.03507,0.06325,0.61634,-0.53269,1.56668,0.33885,-0.49317,1.31593,1.84557,1.00386,2.10743,-0.84073
30316,2,2,-0.19951,-0.1525,1.53818,-1.01611,1.56668,0.37922,0.60717,0.39767,1.84557,1.00386,0.49471,2.79202
10026,2,2,-0.11395,-0.05445,-1.22735,0.59527,1.02008,-0.22633,0.86162,0.39767,0.73601,0.4608,-0.23367,1.34252
302677,2,2,0.70296,0.42155,1.53818,1.07868,-0.61974,-0.91262,0.86162,-0.97973,,-0.26328,-1.11511,-0.9597
30196,2,2,0.0725,0.13213,-1.22735,1.72323,-0.07313,-0.38781,0.85565,0.39767,-1.76051,-1.71144,-1.82898,-0.13914
30309,2,2,1.28579,0.43459,-0.30551,-0.04928,-2.80616,-0.2667,0.86162,-0.97973,-0.37356,1.30556,-0.19741,-0.41558
30156,2,2,-0.08095,-0.16993,0.61634,-0.21042,-0.07313,0.17737,-1.92767,0.8568,1.0134,-0.50464,0.35416,0.51932
