Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
19762,2,1,-0.55419,-0.43302,0.61634,0.11185,0.47347,-0.06485,0.86162,1.77506,1.56818,0.4608,-0.27037,1.30477
10213,2,1,3.02118,2.59278,0.61634,-0.69383,0.47347,0.33885,0.86162,1.31593,1.56818,1.90896,-0.7267,-0.65924
200762,2,1,-0.31833,-0.31697,0.61634,0.27299,0.47347,0.05626,,1.31593,1.84557,1.90896,-1.65514,-0.94777
23164,2,1,-0.38917,-0.39384,-0.30551,-0.69383,1.02008,0.05626,0.86162,1.31593,-0.65095,1.90896,0.25825,0.07054
8844,2,1,-0.1465,-0.22774,0.61634,0.27299,0.47347,-0.02448,0.34646,0.8568,-0.37356,0.70216,2.2789,0.87101
10669,2,1,1.81806,3.15737,1.53818,-0.37156,-0.07313,0.33885,0.85792,-0.97973,-2.87007,-0.72406,-0.68538,-0.96436
8995,2,1,0.61736,0.38181,-0.30551,1.56209,-1.16634,-0.06485,0.08973,-0.97973,0.45861,0.55131,-1.77964,-0.24303
14998,2,1,2.05433,1.8979,1.53818,0.59527,-1.16634,-0.18596,0.86162,-0.97973,-0.65095,-0.26328,0.45091,0.32825
12034,2,1,-0.62031,-0.42046,1.53818,-1.17724,-0.07313,0.17737,-1.22266,-0.97973,0.45861,-0.26328,0.92132,1.05008
20105,2,1,-0.10463,-0.13265,-1.22735,2.69005,-2.80616,-1.1952,0.86162,0.39767,0.73601,-0.15984,0.41241,-0.4277
14785,2,1,-0.346,-0.36706,0.61634,-0.37156,0.47347,0.09663,-1.90604,1.31593,1.29079,0.35736,-1.18155,0.6552
12358,2,1,0.11243,-0.02361,-1.22735,1.07868,-0.07313,-0.38781,-1.92767,0.39767,-0.09617,-1.22872,-0.30991,0.54518
19921,2,1,-0.06168,-0.15207,-0.30551,1.23982,-0.07313,-0.2667,0.86162,-0.97973,0.18122,-1.22872,-0.50027,1.12327
21712,2,1,0.05214,-0.01273,-0.30551,-0.69383,-1.71295,0.5407,-1.22266,-0.52059,0.18122,-1.60283,-0.50027,1.12327
11833,2,1,-0.0856,-0.04355,-0.30551,-0.69383,0.47347,0.01589,-1.89067,-0.97973,-0.92834,0.70216,0.97936,0.44432
40058,2,1,-0.30279,-0.00625,-1.22735,0.11185,1.56668,0.01589,0.86162,-0.52059,0.18122,0.59245,0.97936,0.44432
10231,2,1,0.17234,0.00309,-1.22735,-0.69383,-0.07313,0.25811,0.10937,-0.52059,-0.37356,-0.80634,-1.26681,0.18066
8767,2,1,0.19228,-0.09089,0.61634,-0.69383,0.47347,0.17737,0.02484,0.39767,0.73601,-0.50464,-0.07736,-1.10952
10215,2,1,-0.4613,-0.45473,1.53818,-1.33838,1.56668,0.58107,-1.48622,0.8568,1.0134,0.35736,0.69484,1.43279
11944,2,1,-0.11173,-0.21165,1.53818,-1.49952,1.02008,0.62144,0.30405,0.8568,-0.37356,1.00386,0.69484,1.43279
23311,2,1,-0.63499,-0.52354,-0.30551,0.11185,-1.16634,-0.14559,-1.92767,0.39767,0.45861,-0.62532,0.5646,2.45838
15103,2,1,-0.18453,-0.05324,0.61634,-0.04928,1.02008,-0.18596,-1.92767,-0.97973,1.56818,0.35736,-0.8504,-0.37666
20039,2,1,0.21162,0.1098,-0.30551,-0.53269,0.47347,0.37922,-0.33094,-0.06146,0.45861,1.30556,0.18084,-0.34643
11674,2,1,-0.20133,-0.10428,0.61634,-0.53269,-0.07313,0.01589,0.10937,-0.97973,-0.92834,1.90896,-0.50484,0.4488
24442,2,1,0.78024,0.7161,0.61634,-0.37156,0.47347,-0.06485,-1.22266,-0.97973,0.18122,-1.47008,-0.00352,0.62651
21385,2,1,-0.27478,-0.25737,-1.22735,-0.21042,0.47347,-0.30707,0.83288,-0.97973,-0.37356,1.18488,0.26266,0.09705
20104,2,1,-0.13867,-0.24576,-0.30551,-0.21042,-0.61974,0.17737,-1.22266,0.39767,-0.65095,0.09876,-0.28201,-1.21627
20115,2,1,-0.54817,-0.38857,0.61634,-0.53269,1.02008,0.45996,0.86162,-0.52059,1.29079,0.87456,0.04718,-0.71073
10555,2,1,0.36171,0.20781,-0.30551,0.27299,-1.16634,-0.22633,0.74066,-0.52059,-0.92834,-0.26328,1.62049,1.76872
20578,2,1,-0.53151,-0.48377,-1.22735,0.43413,0.47347,-0.06485,0.86162,-0.06146,-1.20573,-0.15984,1.62049,1.76872
13201,2,1,0.14606,0.12004,-0.30551,-0.69383,1.02008,0.01589,0.86162,-0.52059,-0.65095,-1.71144,0.13661,2.61543
20066,2,1,-0.50614,-0.44368,1.53818,-0.53269,1.02008,0.137,-1.84456,0.8568,1.56818,0.70216,-1.60048,1.37117
13711,2,1,0.0882,0.11495,-1.22735,2.20664,1.56668,-0.6704,0.86162,2.69332,-0.92834,-0.50464,-1.34903,-0.03946
10687,2,1,-0.06251,-0.03045,-0.30551,0.59527,-0.07313,-0.2667,-1.22266,-0.97973,-0.92834,-1.22872,-1.29501,-0.22225
110411,2,1,0.61619,0.4242,1.53818,-0.53269,-0.07313,0.137,0.86162,-0.52059,-0.37356,0.82284,-1.29501,-0.22225
30262,2,1,-0.26461,0.29638,-1.22735,-1.17724,1.02008,0.21774,0.07237,0.8568,0.18122,-0.80634,-2.16799,-0.75718
13156,2,1,0.04893,-0.04685,-1.22735,0.11185,-0.07313,0.21774,-0.12886,-0.97973,-0.65095,0.09876,-1.30439,-0.69214
20070,2,1,-0.51341,-0.38414,1.53818,-0.37156,-0.07313,0.09663,-1.57274,0.39767,-0.09617,0.09876,-1.30439,-0.69214
21460,2,1,-0.46595,-0.33897,1.53818,-2.14407,2.11329,0.86366,-0.11036,-0.52059,1.84557,-0.50464,-0.74484,0.20936
10216,2,1,0.34792,0.11914,1.53818,-1.66066,-1.16634,0.62144,-1.70139,-0.97973,-0.09617,0.09876,-1.36942,-1.05899
10168,2,1,-0.44701,-0.30943,0.61634,-1.49952,0.47347,0.50033,-0.70835,0.39767,0.45861,0.4608,-0.6157,-0.662
24449,2,1,-0.30352,-0.21355,-1.22735,0.7564,-0.07313,-0.46855,-0.00192,-0.97973,1.0134,-1.10804,-0.67667,-1.20915
9220,2,1,-0.92592,-0.64226,0.61634,0.27299,-1.71295,-0.22633,0.86162,-0.97973,-2.31529,-0.50464,0.14798,-1.23883
10762,2,1,0.90523,-0.14841,0.61634,0.27299,-0.07313,-0.42818,-1.59722,-0.97973,-0.92834,-0.9069,-0.67553,-0.19072
8953,2,1,-0.71503,-0.55699,0.61634,0.43413,-0.07313,-0.10522,0.86162,-0.97973,0.73601,1.90896,-0.98868,0.07613
15052,2,1,-0.1984,0.11215,-0.30551,-0.04928,-0.07313,-0.02448,0.86162,0.8568,-0.09617,-0.746,-1.59486,0.03188
8905,2,1,-0.37293,-0.27184,-1.22735,1.23982,0.47347,-0.42818,-1.92767,0.39767,0.18122,-1.71144,-1.33502,-0.069
13906,2,1,-0.1663,0.82052,-1.22735,0.91754,-2.25955,-0.18596,-1.22266,-0.97973,2.12296,-0.98736,-1.85088,-1.09989
