Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
7378,1,2,0.69008,0.72401,-1.22735,1.88437,-0.07313,-0.71077,-1.22266,1.31593,-0.92834,0.70216,-0.67546,-1.35215
6760,1,2,-0.13123,-0.12424,-1.22735,-0.53269,-0.07313,-0.14559,0.86162,-0.97973,-0.09617,0.70216,-1.31525,-0.20920
40158,1,2,-0.31041,-0.28290,1.53818,-0.69383,-0.07313,0.37922,0.86162,1.31593,0.45861,-1.25889,-1.31525,-0.20920
3949,1,2,-0.09702,-0.13842,0.61634,-0.21042,-0.07313,-0.14559,0.86162,1.77506,0.45861,-0.98736,1.48614,-1.51271
6757,1,2,0.07117,-0.03226,-0.30551,0.75640,-0.61974,-0.34744,0.86162,-0.97973,0.18122,-0.50464,-1.68572,-1.43728
40183,1,2,0.12312,-0.04323,-1.22735,1.40095,1.02008,-0.63003,0.84085,0.39767,0.73601,1.00386,-1.68572,-1.43728
40094,1,2,-0.16797,-0.11347,-0.30551,-1.01611,-0.07313,0.25811,-0.64061,1.77506,-0.37356,-1.71144,-1.24824,-0.97411
10105,1,2,0.02155,-0.00815,-1.22735,-0.04928,-1.16634,0.05626,-1.22266,-0.52059,1.29079,-1.22872,-0.69634,-1.13732
10032,1,2,0.13720,0.08912,0.61634,-0.69383,1.02008,0.37922,0.10937,1.77506,0.73601,1.00386,-1.71160,-0.36950
10071,1,2,0.06081,-0.06727,0.61634,0.59527,-0.07313,-0.02448,0.86162,1.31593,,-0.50464,-1.71160,-0.36950
8536,1,2,-0.19314,-0.16999,-0.30551,1.07868,-0.07313,-0.22633,0.50670,1.31593,0.18122,0.46080,2.81891,1.77221
10136,1,2,-0.13866,-0.17421,1.53818,-1.98293,0.47347,0.78292,0.83629,1.31593,-0.37356,1.00386,2.81891,1.77221
10193,1,2,-0.02708,-0.00558,0.61634,-1.66066,1.02008,0.62144,0.42502,0.85680,1.01340,1.30556,0.57197,0.57690
40164,1,2,-0.44563,-0.37195,-1.22735,0.75640,-0.07313,-0.34744,0.28100,-0.06146,-0.37356,-1.10804,0.66536,0.69800
40142,1,2,-0.24731,-0.21204,-0.30551,0.43413,0.47347,-0.06485,-1.80926,-0.06146,1.29079,-0.35379,0.38987,-0.35565
40136,1,2,2.04913,1.16833,-0.30551,-0.69383,-0.07313,0.21774,-1.22266,-0.97973,-1.76051,-0.20294,0.44514,-0.19503
5149,1,2,-0.24799,-0.07217,-1.22735,2.69005,-1.16634,-1.31631,0.17113,-0.97973,-0.65095,-0.74600,0.25888,-0.54608
9304,1,2,-0.04370,-0.16456,0.61634,-0.53269,0.47347,0.13700,0.33906,3.15246,1.56818,-0.26328,0.25888,-0.54608
7009,1,2,-0.24569,-0.16138,-1.22735,0.27299,-0.61974,-0.22633,0.17113,-0.52059,-0.92834,-0.98736,0.48701,0.32239
401722,1,2,-0.42051,-0.39855,-0.30551,-0.53269,0.47347,0.01589,0.82121,-0.97973,-2.59268,-0.98736,1.77586,0.77058
40211,1,2,-0.41305,-0.38613,0.61634,-0.04928,1.56668,0.13700,0.67947,0.85680,0.73601,0.70216,-0.06594,-0.74409
10106,1,2,0.23929,0.18158,0.61634,-1.01611,-0.07313,0.50033,0.86162,-0.97973,-0.37356,-0.50464,0.38062,-0.29171
10043,1,2,-0.41869,-0.37664,1.53818,-1.49952,0.47347,0.66181,-1.74380,0.85680,0.18122,1.90896,1.16689,-0.09927
5320,1,2,0.71734,0.62270,0.61634,-0.37156,-0.07313,-0.06485,0.86162,-0.97973,-1.20573,-0.50464,1.99574,1.12374
6841,1,2,-0.56732,-0.49028,-1.22735,2.69005,-1.16634,-1.31631,,-0.97973,0.73601,0.09876,-0.33704,-0.05685
30242,1,2,0.86474,0.63479,1.53818,-1.82179,1.56668,0.50033,0.15832,-0.97973,1.01340,0.70216,-1.12289,-0.96190
