Subject	Condition	Gender	ZSTEM	ZNonSTEM	Zevap2	Zmathdevalue	ZSAQ1	ZMATHIDcomp	ZTone_pos	ZRAT_PercentCorrect	ZNback_Correct	Zcoratmpt	ZEngpercentDiff	ZCMpercentDiff																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
40162	1	1	-0.384779914	-0.325074188	1.538184767	-0.693832086	1.566682894	0.459957053	-1.222658975	-0.520593846	-0.928338597	0.460803204																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40214	1	2	-0.327541904	-0.304040391	-1.227354351	-0.854969466	0.473472375	0.217738255	0.412491709	0.856799759	-0.650947969	-0.504637548																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40133	1	2	-0.307676107	-0.275610353	1.538184767	-0.210419946	-0.073132884	0.136998656	-1.222658975	0.397668557	-0.096166713	-0.04048334																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30306	2	2	-0.705063167	-0.540243331	0.616338395	-0.693832086	0.473472375	0.500326852	-1.896642756	-0.979725047	0.73600517	1.456413979																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20139	2	1	0.408983166	0.349592509	1.538184767	-0.854969466	0.473472375	0.70217585	0.500439761	-0.520593846	0.181223915	1.003863627																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20117	2	1	-0.135133908	0.023316603	1.538184767	-0.693832086	1.566682894	0.782915449	0.861624481	-0.979725047	-0.096166713	0.098762922																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
7126	1	1	0.067675544	-0.010084795	1.538184767	-1.821793746	-0.619738143	0.581066451	0.861624481	-0.520593846	-2.037901109	0.702163392																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20037	2	1	-0.101835003	-0.193857929	0.616338395	-1.499518986	0.473472375	0.540696652	-0.346024666	-0.979725047	1.013395798	1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30299	2	2	-2.074738	-1.666621203	0.616338395	-1.338381606	-0.619738143	0.379217454	0.708213477	-0.520593846	-0.373557341	1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30203	2	2	0.660054205	0.053683664	-1.227354351	1.078679094	-0.073132884	-0.549287936	-1.479672216	0.856799759	2.12295831	0.098762922																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40209	1	1	0.020725331	-0.0291524	1.538184767	0.272992194	0.473472375	0.056259057	0.292666045	2.693324568	-0.373557341	1.003863627																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10092	1	2	-0.132005646	-0.184342175	-1.227354351	0.756404334	0.473472375	-0.307069139	0.68259754	1.315930964		-0.26327736																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
13597	2	1	-0.380536918	-0.374275442	0.616338395	0.756404334	-0.073132884	-0.307069139	0.861624481	0.397668557	1.013395798	-0.806337783																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10063	1	2	0.184113379	0.173508948	0.616338395	-1.499518986	1.566682894	0.459957053		-0.979725047		1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
7174	1	1	-0.550999997	-0.488118526	-1.227354351	0.272992194	-0.619738143	-0.064850342	0.821208224	-0.979725047	-1.760510481	1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
13243	2	1	-0.423244388	-0.357290765	0.616338395	-0.371557326	0.473472375	0.419587253	0.861624481	-0.979725047	-0.373557341	-0.35378743																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
11638	1	1	-0.484152608	-0.379458108	-1.227354351	1.239816474	1.020077634	-0.589657736	-1.222658975	1.315930964	-1.205729225	0.098762922																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
8587	1	1	-0.117293814	-0.009196225	1.538184767	0.111854814	0.473472375	0.258108055	0.656127737	-0.979725047	0.458614543	-0.504637548																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40178	1	1	-0.583854916	-0.472675207	0.616338395	0.595266954	0.473472375	-0.145589941	-1.754331991	-0.061462644	0.73600517	-0.806337783																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30311	2	1	0.167240277	0.16762623	-1.227354351	1.400953854	-2.806159179	-0.508918137	-1.615436685	-0.979725047	1.290786426	-1.711438488																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10324	1	2	0.139193498	-0.068192324	0.616338395	-0.049282566	-0.073132884	0.258108055	0.861624481	-0.979725047	0.458614543	1.607264097																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20314	2	1	1.001126552	2.029692057	1.538184767	0.272992194	-1.166343402	-0.22632954	0.861624481	-0.979725047	2.12295831	1.250709274																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
22096	1	1	1.79509285	0.886171812	1.538184767	0.272992194	-0.619738143	-0.064850342	0.861624481	-0.979725047		-0.745997736																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
