ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
6269,3,1,0,0.13681,-0.08666,1.47467,1.96934,-0.6498,,-1.08097,0.23991,,,,,,,,,,,,,-0.3663
6368,3,1,0,-0.25495,-0.73085,-0.82894,0.35933,0.92458,,-1.08097,-0.69981,,,,,,,,,,,,,0.77433
6376,3,1,0,-0.32842,-0.52344,0.11894,1.43267,0.24888,,-0.59347,-1.50253,,,,,,,,,,,,,1.23058
6379,3,1,0,-0.28866,-0.46176,0.35612,0.896,0.24888,,-0.59347,0.79963,,,,,,,,,,,,,0.77433
6383,3,1,0,0.6219,0.86538,1.23696,0.35933,0.17455,,-1.08097,-0.58423,,,,,,,,,,,,,1.91496
6403,3,1,0,-0.50213,0.75648,-0.51078,1.43267,0.77593,,-0.59347,,,,,,,,,,,,,,0.20401
8325,3,1,0,-0.06639,-1.05788,0.90333,,0.77593,0.78254,,-1.28,-0.29782,,,2.02247,-0.06039,-0.30376,1.40548,1.78394,,,,,-1.50694
10348,3,1,0,-0.52374,-0.63971,-1.87577,-1.07178,-0.35024,0.01014,-1.56846,0.56015,-0.66583,0.64851,-0.08445,-1.29605,-0.40627,-1.4805,-1.09294,-0.93285,0.51714,-2.07803,-0.37344,-0.64371,-0.13818
10393,3,1,0,0.87324,0.32391,-1.51939,-0.17733,0.77593,0.78254,-1.56846,-0.28955,-1.61338,-1.51037,0.13769,0.33662,-0.96372,-1.30158,0.45825,1.01019,-0.14009,-0.05872,0.27514,-1.60838,0.93728
10427,3,1,0,-0.34075,0.0995,-0.13488,0.35933,-0.57547,-1.53467,-1.56846,0.48884,-0.22521,0.90392,-3.48278,0.90099,0.53349,-0.00823,-0.01363,-0.56769,1.05833,-1.59635,-2.20222,1.09047,0.20401
10447,3,1,0,-1.36623,-1.13874,-0.18729,,0.62577,,,-0.57864,0.24403,-0.71527,0.32835,-0.12063,0.09454,-0.0956,-0.66268,0.43829,-0.89119,1.39458,1.12627,0.12838,0.20401
10638,3,1,0,0.66926,-0.99565,-1.56953,-0.714,0.85101,-1.53467,-1.56846,-0.95685,-0.1683,0.18165,0.15565,-0.1553,1.02732,0.93233,-0.88019,0.04355,-0.54891,0.53954,-0.87807,-0.71655,-0.82256
11100,3,1,0,-0.31707,-0.98617,0.47023,-0.714,0.32546,,-1.08097,-0.30215,0.0354,1.03859,-0.33342,0.87273,-0.04446,-0.27396,0.59519,0.95017,0.76125,-0.85027,0.08056,1.19834,0.44843
11362,3,1,0,1.63367,2.42495,0.04686,-0.714,0.10023,0.01014,0.38152,-0.48454,-1.06147,0.84933,-1.2053,0.3667,-1.29847,-0.628,-0.41643,0.6867,1.07448,-1.09113,0.28586,0.35511,-1.50694
11874,3,1,0,-0.45879,-0.79985,-1.20683,-0.17733,0.85101,0.01014,0.38152,0.59671,-2.18625,0.31698,-0.91124,-0.76825,,,-0.3443,0.43474,-2.46002,0.53237,-0.76272,-0.06619,-1.50694
12036,3,1,0,-1.4142,0.35678,-0.65856,-0.17733,1.15132,0.01014,-0.59347,-0.33781,0.86777,0.76095,0.34666,-0.76164,1.19734,0.69233,-1.33978,-1.22408,0.69076,0.2447,0.14666,0.59089,-1.01809
12124,3,1,0,2.39288,-0.2072,-0.34803,-0.17733,0.77593,-0.76227,1.35651,0.34567,0.32495,0.89269,0.24176,0.75541,0.97355,1.13295,-0.37482,0.19708,0.72533,1.64413,0.9743,1.01967,-0.13818
12705,3,1,0,,,,-1.07178,0.77593,-1.53467,-1.08097,-0.36436,0.36212,-0.52479,0.58683,-0.46035,-0.88132,0.65832,-0.40166,-1.8068,-0.34799,1.21976,1.4486,-1.73052,0.20401
12753,3,1,0,1.14669,1.03099,0.95656,-0.89289,1.30147,0.78254,-0.10598,0.2068,0.45647,0.34995,-0.02526,0.32894,0.71158,0.45531,0.39738,0.45106,0.58476,0.93935,-0.06657,0.57169,-1.50694
13155,3,1,0,-0.91284,-1.06471,-1.31458,0.00156,0.77593,0.01014,0.86901,1.36474,0.88961,-0.05851,-0.81131,-1.93522,0.90265,1.06615,-1.19059,-2.43757,-0.25906,-0.60473,-0.10073,0.03976,-0.3663
13331,3,1,0,,,,0.71711,-1.25118,1.55494,-0.59347,1.66656,0.41653,0.37153,-0.44963,-1.73157,0.57145,0.831,0.62008,-1.03398,0.02929,0.12936,-0.14373,0.15738,0.5462
14210,3,1,0,1.09964,0.21967,-0.63657,3.04267,,-0.76227,-0.59347,-0.51538,,,,,,,,,,,,,-1.50694
14246,3,1,0,0.05937,-1.14928,2.6241,-0.17733,,0.78254,-0.59347,1.08117,,,,,,,,,,,,,-0.3663
15420,3,1,0,-0.99438,-1.18374,-0.267,1.07489,-2.60258,0.78254,-0.10598,0.21674,0.99371,0.82532,0.94541,-1.2013,0.28223,1.16849,-0.43254,-2.2526,0.50556,-0.22755,1.23307,0.88884,0.20401
16411,3,1,0,0.1623,1.16031,1.19968,-1.42956,1.45163,1.55494,0.38152,1.77918,-0.55728,-0.25402,1.3513,0.55126,-0.48955,0.2256,-0.9782,-0.07997,0.08194,1.15543,1.41409,0.01685,1.48723
17409,3,1,0,-1.29124,-0.66868,-0.85546,0.18045,0.10023,-0.76227,0.86901,-0.0158,0.39398,0.11548,0.11886,0.51499,0.53856,0.67723,0.23566,1.30404,1.06292,0.29399,-0.00893,0.20758,1.23058
21613,3,1,0,-2.19753,-0.65872,0.78592,-0.53511,0.77593,1.55494,1.35651,0.79874,-0.25235,1.06842,-3.0155,0.80136,-0.66351,0.1123,0.86011,0.74442,0.85623,-0.94557,-2.18,1.27551,1.12529
21746,3,1,0,-0.18154,0.65178,1.96729,1.25378,-2.60258,0.01014,-0.10598,0.07017,1.02287,0.51965,-0.6889,-1.06075,0.65104,0.82201,0.6727,-0.14813,0.04338,0.04062,-0.14226,0.37862,0.20401
22705,3,1,0,-0.8552,0.01315,0.25077,-0.35622,0.32546,0.78254,-0.10598,0.20262,-1.9863,-0.75505,1.03599,-1.73258,0.15864,-2.36328,-2.09363,-0.99032,0.14616,0.1087,0.41823,-0.6275,1.48723
22914,3,1,0,0.01227,0.31814,0.23266,-0.35622,-1.55149,-0.76227,0.86901,0.41211,-0.03494,,,0.60609,0.41255,0.80404,0.13071,-0.0587,,,,,0.44843
23064,3,1,0,,,,0.00156,0.10023,0.78254,-0.59347,-1.76021,0.5987,0.89313,0.06885,-0.60875,-1.95857,-1.22254,-2.06915,-1.07695,0.389,-0.43981,0.1999,0.97607,0.77433
23232,3,1,0,,,,1.61156,-1.92688,-0.76227,1.35651,-0.24768,1.02103,-1.55478,-2.66879,-0.15326,0.17155,1.07903,-0.72671,-0.46976,-2.58517,-2.08785,-2.60927,-1.75902,1.23058
23505,3,1,0,1.96558,1.58715,-0.42765,-0.89289,-0.57547,-0.76227,-0.59347,-0.57282,-0.08195,0.31822,1.16192,-1.22453,-0.27249,-0.48858,-1.73444,-0.79999,0.43652,0.70278,0.71878,0.42318,
25003,3,1,0,0.21476,0.73161,1.36435,0.18045,-1.92688,1.55494,-0.10598,0.70641,0.04888,-0.60232,0.19605,-0.10925,-0.07625,0.43638,-1.96905,-1.39344,-0.8278,0.38031,0.55271,-0.1556,0.77433
25053,3,1,0,-1.21843,0.61506,-1.24636,-1.42956,1.45163,1.55494,-1.08097,-0.44462,0.72799,0.48538,-0.51846,0.78381,0.33213,0.81609,0.48558,0.59079,0.78542,0.60333,-0.38783,0.58766,1.91496
25629,3,1,0,-0.00853,1.26177,-0.33536,-0.35622,0.10023,-2.30708,-1.08097,-0.82452,0.46927,0.62463,0.35962,1.43956,0.05513,0.07953,1.38308,1.80017,0.98707,0.48883,0.51893,1.40703,-0.3663
26492,3,1,0,-0.66542,0.04167,-0.65783,0.18045,0.02515,-1.53467,-0.10598,-0.01167,-1.10239,-1.59359,-2.22781,-0.1141,-1.64749,-1.58764,-0.37961,-0.03044,-0.99751,-2.85891,-1.39678,-0.71599,-0.52925
28271,3,1,0,0.209,0.32481,-0.10207,-0.35622,0.10023,0.78254,-0.10598,1.00884,1.09309,0.16712,0.0123,-1.0139,0.59346,1.49224,-0.88866,-0.19458,0.14277,0.50314,0.23726,0.54542,1.34465
31562,3,1,0,-0.93418,-1.89446,-0.14414,-0.35622,0.10023,1.55494,-0.59347,2.61752,-0.10049,0.35166,1.01986,0.03135,-0.16065,-0.32924,0.48723,0.83636,0.47909,0.34324,0.82151,0.41278,-0.13818
31607,3,1,0,-0.46375,-1.23166,-0.30905,-0.17733,0.10023,0.01014,0.38152,-0.78487,-0.61242,-0.39756,1.2175,2.27402,0.26621,-0.52215,0.58361,1.00143,0.70169,0.56616,0.83346,0.51273,-0.52925
31705,3,1,0,-0.25495,-0.73085,-0.82894,-1.42956,1.45163,0.78254,-1.08097,0.15513,0.1407,-0.24987,-0.44681,-1.00495,0.89731,0.38511,-0.43648,-1.04796,-0.13951,-0.59553,0.05219,-0.61048,0.20401
31790,3,1,0,,,,0.71711,0.77593,-0.76227,0.86901,-0.89682,0.72126,0.95062,-0.78258,0.70013,0.4393,0.65442,0.43939,1.1354,0.71473,-0.32207,-0.8595,-0.60548,1.91496
31813,3,1,0,-0.81427,-0.14898,0.17263,-0.89289,0.77593,0.01014,-0.59347,1.69688,-0.06029,-0.50801,1.04073,0.13296,-0.21169,0.31342,0.64623,0.87901,-0.43443,1.13175,-0.0182,-0.54272,0.77433
32952,3,1,0,,,,-0.714,1.45163,0.78254,0.86901,-1.81267,0.19325,0.62323,1.5172,1.15139,0.08326,0.43419,0.63719,1.1623,0.5525,1.64797,1.15288,0.95382,1.23058
33678,3,1,0,0.20934,,2.08879,-1.42956,1.45163,0.78254,0.86901,0.31069,0.07363,-0.31661,0.92643,0.24094,0.51835,-0.19108,0.78127,1.17261,0.114,0.03636,-0.01694,-0.16366,1.91496
33836,3,1,0,-1.29124,-0.66868,-0.85546,0.71711,0.47562,0.01014,-0.10598,-0.84629,-0.8909,,,-0.36509,-0.71883,-0.66989,0.6413,0.89182,,,,,-1.0792
34152,3,1,0,-1.31881,-1.14842,-1.10401,0.896,-0.5004,-1.53467,-0.59347,-0.34025,-1.16074,0.50734,1.13663,0.42487,0.36019,-1.56005,1.3544,0.03354,0.34614,-0.83643,-0.00903,1.0933,-1.50694
34382,3,1,0,-1.1679,-1.14923,-0.83311,-0.89289,0.77593,0.78254,0.86901,-2.38383,-0.31449,-0.16889,0.85158,1.02574,0.24745,-0.39902,1.40849,1.39374,0.26854,1.19186,1.20864,0.50844,1.91496
36662,3,1,0,0.21476,0.73161,1.36435,0.35933,0.10023,1.55494,0.86901,0.18852,-0.67588,-1.59157,-1.97202,0.87531,-0.67512,-0.40443,0.79866,1.15401,-0.60072,-1.89207,-1.5194,-1.84768,1.23058
40210,3,1,0,-0.10274,0.87881,-0.48868,0.71711,-2.60258,0.78254,-1.08097,-0.10133,1.13117,0.99693,-0.99172,-0.25491,0.57483,0.43412,0.4289,-0.79525,0.89318,-0.31645,-0.67069,1.16038,-0.82256
42187,3,1,0,-0.00853,1.26177,-0.33536,-1.25067,,1.55494,1.84401,-0.29678,,,,,,,,,,,,,
46550,3,1,0,,,,-0.35622,0.10023,-0.76227,-0.10598,-1.25631,0.31351,0.17798,-0.23384,0.57948,0.3585,0.52254,-0.38788,-0.03427,0.65855,-1.13922,-0.27721,0.66399,-0.3663
47232,3,1,0,-0.04939,-0.58582,1.4512,-0.714,0.77593,0.01014,-1.08097,-0.04996,-0.45974,-0.97523,0.97756,-0.24983,-0.41766,-0.29646,0.08212,0.14752,-1.47559,1.15873,0.47607,-1.14652,0.77433
48111,3,1,0,2.39288,-0.2072,-0.34803,-1.42956,1.45163,1.55494,0.86901,-0.58504,0.54299,-0.02465,0.20273,0.43426,-0.41777,1.06368,1.54761,1.33804,-0.45993,0.7815,-0.18682,0.91205,1.34465
48786,3,1,0,1.90624,,,-0.35622,0.10023,1.55494,1.35651,-1.85489,-0.80292,0.23467,0.31131,-0.81046,0.46537,0.72688,-1.37546,-0.97849,0.01845,0.56688,0.04854,0.38497,1.23058
49160,3,1,0,0.92871,0.1496,-0.03924,-0.17733,,0.01014,-1.08097,,0.38728,1.08345,0.44832,-1.82432,0.19896,0.24649,-0.47585,-0.80859,0.20352,-0.86894,-0.49303,0.75302,-0.3663
49504,3,1,0,0.209,0.32481,-0.10207,,,,,,,,,,,,,,,,,,
50488,3,1,0,-0.20381,-0.91097,-0.04709,,,0.78254,,-0.04017,,,,,,,,,,,,,
50491,3,1,0,-0.18154,0.65178,1.96729,-0.53511,0.10023,0.01014,-1.08097,-2.01039,-0.80227,,,0.87258,-1.0056,-0.66713,2.09192,1.13744,,,,,-0.52925
50611,3,1,0,-1.69043,1.43574,-0.90504,,,,,,,,,,,,,,,,,,
50830,3,1,0,,,,-0.53511,0.40054,0.78254,0.38152,-0.63693,0.97883,-0.04536,0.63205,0.99269,1.20024,1.40401,0.66182,0.66224,0.1155,-0.84613,-0.41823,-0.22325,1.23058
51363,3,1,0,,,,-0.53511,0.77593,0.78254,-1.08097,1.00709,-0.01486,0.63189,0.33988,-0.78387,-1.04303,-0.1061,1.21137,0.5341,0.5914,1.158,0.67413,-0.6162,0.20401
52103,3,1,0,-0.18816,-1.09362,-0.49218,0.35933,-1.25118,0.78254,0.38152,0.20074,,,,,,,,,,,,,-1.50694
52216,3,1,0,-0.04939,-0.58582,1.4512,-0.714,0.10023,0.01014,1.35651,-0.99576,,,,,,,,,,,,,-0.3663
53054,3,1,0,-0.8552,0.01315,0.25077,0.35933,0.10023,0.01014,-0.59347,-2.29049,1.98859,0.59911,-0.82475,-1.98367,0.75611,0.8642,-0.59752,-0.94265,0.34676,0.17163,0.68381,0.49037,0.48917
53105,3,1,0,-0.86293,0.43589,-0.33561,0.53822,0.10023,0.01014,-0.59347,-0.07119,0.40758,0.7548,-1.18522,-0.43233,0.26149,0.43052,-2.04024,-0.27643,0.83509,-0.72357,-2.01214,0.48498,-0.3663
54792,3,1,0,1.46017,1.45583,2.38345,,0.77593,0.78254,-0.59347,-0.99526,,,,,,,,,,,,,1.05949
54982,3,1,0,,,,-1.07178,1.45163,1.55494,0.38152,0.66149,0.35069,-0.10278,0.21849,1.98089,0.71356,0.44994,1.57768,1.8032,-0.49924,-0.32886,0.36834,-0.18931,1.05949
55414,3,1,0,-0.20929,0.701,1.26569,-0.714,,0.78254,-0.10598,-0.16381,1.33837,0.06097,-1.53292,-1.47749,1.11283,0.8206,0.52375,0.08797,0.25942,-1.12561,-1.19756,0.18104,1.05949
55501,3,1,0,0.68622,0.68112,1.06138,-0.714,0.40054,-0.76227,0.38152,-0.75523,0.35412,0.18717,0.40323,-0.94967,1.15061,0.39802,1.28375,-0.55313,-0.51039,-0.36111,0.25215,0.29728,-0.65146
56186,3,1,0,-1.69277,-0.77871,-1.43887,-0.53511,0.77593,0.78254,-0.10598,0.23018,-0.2169,0.61826,1.56268,1.07902,-1.33339,-0.08388,1.66673,1.50507,0.19628,0.73932,1.05939,-0.94494,1.91496
56690,3,1,0,-0.15786,-0.60812,0.51343,-0.17733,,-0.76227,-0.59347,0.68039,1.05965,0.16963,-1.07767,-0.01043,0.54445,0.60993,0.75379,0.20287,-0.21113,-0.27009,-0.07611,-0.03898,-0.3663
57324,3,1,0,-0.85963,-1.3197,-0.89523,1.25378,-1.25118,-1.53467,0.86901,0.72592,-0.72551,0.07514,-0.16953,0.46331,-0.73459,-0.69126,0.10568,0.03023,0.95011,0.71071,0.1515,0.15125,0.20401
58682,3,1,0,-0.20298,0.20649,0.24134,-0.53511,0.77593,1.55494,0.86901,0.11831,0.33975,0.32006,0.93827,0.59346,0.23042,0.12219,-0.06617,0.35208,0.53308,1.02748,1.44453,0.53926,0.93728
58925,3,1,0,,,,-0.35622,0.77593,-0.76227,0.86901,-0.0659,0.2989,0.24879,-1.49642,-0.90353,0.25485,0.28478,-0.97821,0.24492,-0.37451,-0.8772,-0.62562,0.74982,-0.93662
61972,3,1,0,-0.35328,1.0876,0.28027,0.18045,0.70085,-0.76227,1.84401,0.62615,-0.02019,-0.13974,-0.30973,0.12615,0.78137,0.54552,0.02155,-0.13661,0.09039,0.21544,0.3781,0.53914,0.5462
62101,3,1,0,-0.17656,0.86202,-0.32177,0.58295,,,-1.08097,0.03461,-0.50557,-0.21581,0.53132,1.62796,-0.13611,-0.38823,0.35154,1.28858,0.12368,-0.04708,0.56277,0.46101,-0.04041
64375,3,1,0,-0.05402,0.17775,0.03278,0.53822,-0.57547,0.01014,-0.59347,-1.36235,-0.634,0.25717,-0.28573,-0.22586,-0.45017,0.60339,0.82243,-1.43976,0.55515,0.19494,-0.51879,0.24107,1.05949
65659,3,1,0,-0.98129,-1.09852,-0.82333,0.18045,0.77593,1.55494,0.38152,0.84177,0.32535,-1.0388,-0.47195,-1.40226,-0.69985,0.12344,-0.63878,-0.5195,-1.04908,-1.05427,-1.7349,-1.98975,1.34465
65888,3,1,0,0.209,0.32481,-0.10207,1.07489,-0.57547,-0.76227,-0.10598,0.03699,1.27489,0.71895,0.92807,,1.88239,0.88906,-2.98957,-2.629,0.74765,1.62076,0.83254,0.75396,0.77433
68038,3,1,0,-0.8552,0.01315,0.25077,-0.17733,0.10023,0.01014,-0.10598,0.38258,-0.05127,0.26007,0.5313,-0.03835,0.73181,0.48104,-0.04789,-0.55762,0.13254,0.49101,0.41322,-0.13651,1.91496
68987,3,1,0,,,,0.35933,0.10023,0.01014,1.84401,0.19764,0.71957,0.24969,-1.07724,0.60142,0.2603,0.30954,0.97109,1.00835,-0.05414,-0.61747,-1.7754,0.0485,-0.3663
