ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
76317,1,0.00,0.00,1.44980,0.65568,0.81137,-0.35622,0.77593,0.78254,1.35651,-0.74495,1.18914,-2.29205,-1.77147,-1.44392,1.13859,0.64679,-2.01692,-1.99454,-1.76909,-1.48349,-1.09686,-3.39595,0.04847
76420,3,1.00,0.00,-1.48747,-1.22810,-1.67615,0.00156,0.10023,0.01014,1.35651,1.07445,0.75448,0.86755,-1.26157,1.95693,0.93298,0.77155,1.47687,1.66821,0.81553,-1.01118,-1.12107,0.83417,1.91496
76472,1,0.00,0.00,-1.01581,-0.59362,-0.03892,-0.71400,0.77593,0.01014,-1.08097,0.83888,-0.72511,0.15994,0.18566,0.07944,-1.79837,-0.58343,1.29655,0.66442,-0.05025,0.88840,0.31045,0.13973,0.77433
76986,3,1.00,0.00,-0.39518,0.16311,1.20944,,-0.50040,,,0.34780,0.62305,0.97865,0.20966,1.27152,-0.19160,0.71144,1.03366,0.14936,0.55366,0.40558,0.94488,1.06516,0.54620
77636,3,1.00,0.00,0.38373,-0.64591,0.79029,-0.71400,0.10023,-0.76227,0.86901,-1.51685,0.15833,-0.44496,0.85623,0.66673,0.25434,-0.00275,-0.31337,0.08825,-0.55757,0.15047,0.58026,0.73788,0.77433
78036,3,1.00,0.00,-1.38655,-0.93918,-0.95397,-0.89289,0.77593,0.78254,0.86901,-0.77279,0.11208,0.10489,0.49575,-1.27267,0.53609,0.91441,-1.83216,-1.44658,-0.50047,0.54219,-0.94049,-0.03073,-1.07920
78086,1,0.00,0.00,,,,0.71711,0.10023,-0.76227,0.86901,1.11560,-3.35502,1.17117,0.06433,-1.23434,-0.68643,-2.80635,0.18362,-1.36426,1.00017,0.41853,0.10503,1.00256,-0.65146
78097,1,0.00,0.00,1.46086,0.43541,-0.23831,0.18045,-0.57547,-0.76227,0.38152,0.89094,,,,,,,,,,,,,-0.36630
78746,1,0.00,0.00,-0.17687,-0.16755,0.22626,-0.53511,0.17531,-0.76227,-1.56846,-0.45019,-1.13629,-0.12221,0.47662,0.26177,-0.79851,-1.39987,-1.25486,-0.69169,-0.62196,0.26179,0.16317,-0.33948,-0.13818
78778,1,0.00,0.00,-1.46124,0.79157,0.08526,-1.25067,0.77593,-0.76227,0.38152,-1.10623,0.85400,0.12772,-1.29325,0.85436,0.40953,0.17878,0.47812,0.76261,-0.09953,-0.34482,-1.23942,0.13642,0.20401
78818,4,1.00,1.00,-0.25495,-0.73085,-0.82894,-1.07178,1.45163,0.01014,0.38152,-1.09368,0.15341,-0.35167,1.15917,-0.22635,0.14909,0.31403,0.56043,0.13478,0.73181,0.33552,0.51029,0.64560,1.05949
79171,4,1.00,1.00,-0.60291,-0.60676,-0.28472,,,,,-1.49593,,,,,,,,,,,,,
79316,1,0.00,0.00,-0.28866,-0.46176,0.35612,-0.35622,0.10023,-0.76227,0.86901,1.21672,0.46464,,-1.20829,-1.22925,0.29641,0.37104,-1.52415,-1.17699,,-1.80283,-1.68928,,0.20401
79678,3,1.00,0.00,-1.69277,-0.77871,-1.43887,-1.25067,1.37655,-0.76227,-1.56846,-0.84701,0.25345,0.33118,-0.19265,0.22943,1.29706,0.66002,0.55035,0.68695,0.51824,0.59770,0.91911,-0.01706,-0.36630
79918,1,0.00,0.00,-0.24468,0.94861,0.40720,-0.53511,,0.01014,1.35651,-0.28303,0.76536,0.43984,1.00588,0.89266,1.35358,0.73586,1.61827,1.93946,0.85647,0.87790,0.63436,0.25371,
79943,1,0.00,0.00,,,,0.35933,0.10023,0.01014,1.35651,0.04439,1.14455,0.42714,0.60687,0.20810,0.92188,1.17673,0.39317,0.51055,0.46194,0.94723,0.93064,-0.05187,1.91496
80050,3,1.00,0.00,,,,-0.17733,0.10023,0.78254,-0.10598,0.53973,-0.62949,-0.12600,0.97021,1.32922,-0.94063,-0.14112,0.73170,1.30794,0.45458,-0.21938,0.35999,-0.50900,1.42612
80077,3,1.00,0.00,-0.85443,-0.19300,-0.41413,-0.17733,1.07324,1.55494,1.35651,-0.00319,-0.13920,0.40706,0.03440,-0.25688,-0.85005,-0.14752,-0.17000,0.13451,1.37322,0.20788,0.32026,0.96955,-0.93662
80564,3,1.00,0.00,-0.28866,-0.46176,0.35612,2.50601,-1.25118,-0.76227,-1.08097,-1.87122,-1.64370,-0.76151,-1.73640,0.21126,-0.67882,-1.75217,-0.51863,-0.04643,-0.30570,-0.48244,-1.29615,-2.09762,0.54620
80918,4,1.00,1.00,2.10093,-1.61765,-1.41571,,0.32546,,,-0.22093,,,,,,,,,,,,,-1.50694
81234,2,0.00,1.00,-1.26016,0.63058,-0.09358,0.71711,-0.57547,-0.76227,1.35651,0.07803,-1.41347,0.65724,-0.30793,0.14046,-0.99663,-0.57178,-0.94183,-0.61578,1.07859,-0.34502,-0.22585,1.41000,-0.13818
81260,4,1.00,1.00,0.08316,-0.86812,0.59601,0.71711,-1.25118,0.01014,-0.59347,-0.52186,-0.71161,0.60975,-0.12829,-0.65951,-0.62833,-0.11085,0.37762,-0.62432,-1.93661,0.65767,0.74574,0.38685,0.54620
81415,3,1.00,0.00,1.14106,1.13973,3.13634,-1.07178,0.40054,0.01014,-0.59347,-0.65112,0.70614,0.81472,0.73306,0.61271,1.38561,0.85216,1.90285,0.51637,0.60258,0.93993,0.87097,1.10111,-1.50694
81682,2,0.00,1.00,-0.60972,-1.29502,-1.60827,0.00156,-0.50040,0.01014,1.35651,-0.09322,0.31299,0.56300,0.86064,-1.74439,0.18404,0.15876,-1.69504,-1.70293,0.92546,0.37385,-0.12086,0.66525,-0.36630
82305,1,0.00,0.00,,,,-1.42956,1.45163,-0.76227,0.38152,-0.69903,1.14016,-1.52354,-1.43562,-0.20779,0.37770,0.97837,-0.71978,-0.50515,-0.59571,-0.61510,-1.38986,-1.67942,0.77433
