ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
5959,1,0,0,-0.93418,-1.89446,-0.14414,0.18045,0.10023,,0.86901,0.06833,,,,,,,,,,,,,-0.3663
5972,1,0,0,-0.09289,0.07325,,-1.42956,0.99891,,0.86901,0.656,,,,,,,,,,,,,0.77433
6006,1,0,0,0.26621,-0.13364,0.73734,,,,,,,,,,,,,,,,,,-1.50694
6012,1,0,0,-1.29124,-0.66868,-0.85546,2.6849,-2.60258,,0.86901,-0.60114,,,,,,,,,,,,,0.77433
6014,1,0,0,-1.63564,2.26119,2.36562,0.35933,0.17455,,0.86901,0.08469,,,,,,,,,,,,,-0.93662
6063,1,0,0,-0.13988,-0.6885,0.13697,1.43267,0.47862,,0.86901,-0.18932,,,,,,,,,,,,,-0.93662
6083,1,0,0,-0.95907,1.42909,0.04165,0.18045,-0.80071,,,0.97225,,,,,,,,,,,,,0.20401
6112,1,0,0,0.22887,-0.83726,-0.64999,2.32712,0.99891,,-1.08097,-1.02377,,,,,,,,,,,,,1.91496
6118,1,0,0,,1.18947,0.86582,0.71711,0.85026,,-0.10598,-1.24382,,,,,,,,,,,,,0.20401
6192,1,0,0,-0.34075,0.0995,-0.13488,0.00156,0.99891,,1.35651,-0.7435,,,,,,,,,,,,,1.91496
6222,1,0,0,0.06549,-0.69944,-0.58524,0.35933,0.62727,,0.38152,,,,,,,,,,,,,,0.20401
6245,1,0,0,-0.84626,-0.28765,-0.78171,1.79045,-0.95387,,-1.08097,1.2157,,,,,,,,,,,,,-0.3663
6252,1,0,0,1.11925,0.02613,-0.14797,1.07489,-0.42682,,-0.59347,-0.83949,,,,,,,,,,,,,1.05949
6342,1,0,0,-0.26334,-0.61448,1.95991,,,,,,,,,,,,,,,,,,-1.50694
11443,1,0,0,1.45186,,1.83907,0.53822,-1.25118,-1.53467,1.35651,-0.38307,,,,,,,,,,,,,1.91496
11479,1,0,0,0.38373,-0.64591,0.79029,,-0.27516,,-1.56846,-0.35745,-1.05941,-0.55123,1.3605,-0.62196,0.35056,-1.02491,1.4084,0.61617,0.76732,0.92339,1.20154,-1.59994,-1.50694
12120,1,0,0,,,,0.18045,0.10023,0.01014,0.38152,-1.105,-0.72705,0.19041,0.39387,0.95179,-0.91678,-0.77921,1.23328,0.86852,-0.84353,1.39622,0.07765,0.19304,0.20401
12625,1,0,0,-0.00594,0.42657,-0.9888,-0.17733,-0.57547,-0.76227,1.84401,0.79143,0.39813,-0.22734,1.00885,-0.8131,0.31723,0.31331,1.44905,-2.68406,0.90946,0.64078,0.46794,0.5574,-1.01809
12846,1,0,0,-0.00853,1.26177,-0.33536,-1.42956,0.62577,0.01014,0.38152,0.43006,1.24763,-0.15133,-0.25441,1.30902,0.76602,1.59695,1.71527,1.37958,-0.3418,-0.08957,-0.30682,-0.95178,-0.3663
13230,1,0,0,,,,-0.714,0.77593,0.01014,-0.10598,0.04706,0.29427,0.48482,0.05801,0.35785,0.56291,0.49442,-0.04375,0.40102,0.07166,-0.07434,0.12521,-0.0827,0.77433
13530,1,0,0,0.20851,0.91366,-0.50098,1.61156,-2.60258,0.01014,0.38152,-0.13547,0.37391,-0.19588,-0.0137,1.65474,0.01964,0.58193,0.97099,1.86158,0.46133,-0.71856,0.30799,0.18013,-0.93662
14369,1,0,0,,,,0.71711,-1.25118,0.01014,-0.59347,0.02948,0.1902,0.21286,0.70679,-0.90514,-0.47575,0.85553,0.05221,0.64983,0.514,-1.43461,-0.75659,-0.32578,1.34465
14702,1,0,0,,,0.8602,0.53822,-0.95086,-0.76227,-1.08097,-0.10536,,,,,,,,,,,,,-1.50694
14989,1,0,0,0.21476,0.73161,1.36435,-1.07178,1.45163,1.55494,0.86901,-0.2851,,,,,,,,,,,,,-0.13818
15311,1,0,0,-0.83723,0.09041,-0.24594,-0.53511,0.77593,0.78254,1.35651,-0.53163,-1.58174,0.16159,0.20575,-1.09095,-1.47899,-0.39382,0.06225,-0.74278,0.80977,1.0515,0.0797,0.45901,0.20401
16092,1,0,0,-0.32084,0.39186,-0.447,2.86378,0.10023,0.01014,-0.10598,-0.00441,0.5483,,,-0.23062,0.92406,0.48405,-0.4311,-2.16896,,,,,-1.50694
16172,1,0,0,0.65827,-0.26002,0.85896,-0.714,0.47562,0.01014,0.86901,-0.34158,-0.20626,0.32791,-1.03481,-0.32045,-0.16745,0.09099,0.3109,0.33356,-0.01505,-0.37166,-1.58519,0.23431,-0.22372
16257,1,0,0,,,,0.18045,-0.57547,0.78254,0.38152,0.51545,1.42765,,-0.90225,0.00454,0.54361,0.75243,-0.5174,0.30767,,-2.08161,-1.00841,-1.76428,0.20401
16541,1,0,0,-0.17956,-0.46488,-1.14871,0.53822,,0.01014,0.86901,0.5213,0.40239,0.69301,1.15476,-1.18753,0.10647,0.45632,-1.70835,-2.75331,-1.0626,0.40084,1.34621,0.8772,-0.3663
17873,1,0,0,1.99623,0.87944,0.53419,-0.89289,0.32546,0.01014,-1.56846,0.45658,0.23581,0.72974,-0.01943,0.46585,0.80855,0.6888,0.06756,0.57727,0.00204,1.04156,0.04784,0.99441,0.20401
